, Tweet,TweetClean_NonPT,TweetClean_PT
473,"@IndosatCare
 saya sangat kecewa dengan pihak indosat. Pulsa saya senilai 35000 
hilang gak tau kemana. Padahal saya masih berlangganan paket 1gb 1hr dan
 kouta tersebut masih ada. Saya mengecek jam 15.00 pulsa masih 35000 
kemudian saya cek kembali jam 15.15 pulsa tinggal 1 perak.pic.twitter.com/58qvQrBdjL",kecewa pulsa senilai kemana langgan paket gb kecek jam pulsa cek jam pulsa,kecewa pulsa senilai kemana langgan paket gb kecek jam pulsa cek jam pulsa
474,"@IndosatCare
 min ini nomor ibu saya dikirimin sms kyk gini & pulsanya langsung 
dipotong 5rb. Padahal ga pernah aktifin apa2an. Tolong di non aktifkan 
ya. Dan jgn asal aktifin klo kitanya ga pake. Tkspic.twitter.com/amK5hdr2qC",min nomor dikirimin sms rb aktifin ya aktifin,min nomor dikirimin sms rb aktifin ya aktifin
475,"@IndosatCare
 min, 2 hari yll saya isi pulsa 25rb. Blm dipake nelp sms ataupun 
internet. Tb2 bbrp jam kemudian katanya pulsa 0. Katanya pemakaian inet 
per Kb. Pdhl saya inet pake kartu lain. Kemana pulsa sayaaa? ",min yll isi pulsa rb nelp sms internet jam pulsa inet kb inet kartu kemana pulsa sayaa,min yll isi pulsa rb nelp sms internet jam pulsa inet kb inet kartu kemana pulsa sayaa
476,"@IndosatCare
 selamat siang, ini semalam saya melalukan pengisian pulsa sebesar 10rb,
 lalu siang ini saya cek pulsa saya tinggal 6rban padahal saya belum 
melakukan panggilan ataupun sms.pic.twitter.com/eMEaQFmSQI",selamat siang malam isi pulsa rb siang cek pulsa laku,selamat siang malam isi pulsa rb siang cek pulsa laku
477,"@IndosatCare ini ke 4 kalinya saya nanya nih, kebangetan kalau ga direspon juga.  kenapa ya eror terus dr td?pic.twitter.com/pjXmG8v2CD",banget direspon ya eror dokter,banget direspon ya eror dokter
478,@IndosatCare saya coba registrasi berulang2 tp ga dpat jawaban yah.. bs dibantu ? Thankspic.twitter.com/2XeNJ1joDa,registrasi dpat yah,registrasi dpat yah
479,"@IndosatCare tolong respon tweet saya, saya ingin registrasi baru saya, sy sudah coba melalui 4444 dan http://im3.do/registrasi .
 Saya sudah dapat kata kunci registrasi tetapi saya blm dapet balas nmr 
sy sudah teregistrasi atau blm .saya ingin tau nmr sy sudah teregistrasi
 atau blm",respon tweet registrasi kunci registrasi dapet balas nmr teregistrasi .saya nmr teregistrasi,respon tweet registrasi kunci registrasi dapet balas nmr teregistrasi .saya nmr teregistrasi
480,"@IndosatCare ini gmn sih? Kok di aplikasinya ga uodate? Udah dei refresh2 juga ga berubah, ga bisa beli paket pake aplikasi kan jadinyapic.twitter.com/HLuBW58NgV",ubah paket aplikasi,ubah paket aplikasi
481,"@IndosatCare min semalam tanggal 26 Februari 2018 nomor HP 085654626686, pulsa 49rb menghilang. Padahal paket data dimatikan. @kemkominfo @YLKI_ID 

Saran aja gimana kalo Indosat tidak sediakan internetan lewat pulsa, supaya begitu paket data habis internet tidak bisa diakses.",min malam tanggal februari nomor hp pulsa rb paket data kemkominfo id saran internetan pulsa paket data internet diakses,min malam tanggal februari nomor hp pulsa rb paket data kemkominfo id saran internetan pulsa paket data internet diakses
482,"@IndosatCare
 Min kenapa yak sinyal indosat dari jam 22.00 sd jam sekarang sinyal nya
 panggilan darurat terus. Saya tinggal di daerah Ciapus, Tamansari, Kab.
 Bogor.pic.twitter.com/iB2TwlNng3",min iya sinyal jam jam sinyal nya panggil darurat daerah ciapus tamansari kab,min iya sinyal jam jam sinyal nya panggil darurat daerah ciapus tamansari kab
483,"@IndosatCare
 haloo hallo up up! tlg nomor saya nggak bisa buat sms, mau registrasi 
jadi nggak bisa...saya sudah DM juga..telp call centre susahhttps://twitter.com/gita_marhendra/status/968136827134619654?ref_src=twcamp%5Eshare%7Ctwsrc%5Em5%7Ctwgr%5Eemail%7Ctwcon%5E7046%7Ctwterm%5E1 …",registrasi dm,registrasi dm
484,@IndosatCare paket internet dimatikan kenapa puls kesedot ya?pic.twitter.com/Wk9x8Vss9Q,paket internet,paket internet
485,"@IndosatCare
 min mw tanya, saya udh registrasi ulang stlah itu ada pop up sperti itu
 trus setiap kali hidupin paket data knp ya min , mohon info sebelumnya 
gak bgtu sblm di registrasi ulangpic.twitter.com/dqKpkWuUug",min mw registrasi stlah kali hidupin paket data ya min mohon info registrasi,min mw registrasi stlah kali hidupin paket data ya min mohon info registrasi
486,"@IndosatCare
 hi, saya sudah sms ke 99812 untuk mengaktifkan spotify freedom combo 
saya tapi saat saya klik link tsb muncul gambar spt ini. tolong aktifkan
 spotify sy!!!pic.twitter.com/IFDyKwX6ZG",sms kah klik link gambar,sms kah klik link gambar
487,"@IndosatCare
 nomor m3 ooredoo saya kok gabisa digunakan ya? Waktu mau panggilan, 
selalu ""untuk sementara kartu kamu tidak dapat menggunakan layanan ini"" 
Untuk sms atau call service juga nggabisa. Mohon bantuannya 
Makasih",nomor ooredoo gabisa ya panggil kartu layan nggabisa mohon,nomor ooredoo gabisa ya panggil kartu layan nggabisa mohon
488,"@IndosatCare
 tolong kembalikan pulsanya min...masa cm ada wa masuk pulsa terpotong 
20rban??? sblumnya pake pkt yellow ..lgi dijalan blm sempet 
perpanjang...bru brp menit signal x pulsa ludes. thanks. nomornya 
085786126800.. sisa pulsa sblumnya 21/22rbpic.twitter.com/6M0jJZQ8q4",pulsanya min wa pulsa dijalan sempet perpanjang bru menit pulsa ludes terimakasih sisa pulsa,pulsanya min wa pulsa dijalan sempet perpanjang bru menit pulsa ludes terimakasih sisa pulsa
489,"@IndosatCare
 halo, boleh dibantu untuk registrasi paket yellow 1gb/hari di nomor 
0858-7098-8362, saya cpba registrasi tapi dapat notifikasi kalau pulsa 
saya tidak mencukupipic.twitter.com/021rce687J",halo registrasi nomor cpba registrasi notifikasi pulsa,halo registrasi nomor cpba registrasi notifikasi pulsa
490,"Komplain udah 2 minggu ngga d respon, k galeri antrinya ngga nguatin. Pelayanan model gitu? Cek tuh DM",minggu respon galeri antrinya nguatin layan model cek dm,minggu respon galeri antrinya nguatin layan model cek dm
491,"@IndosatCare
 sy baru isi pulsa 10rb semalem, dan cm buat beli paket yellow yg 
1rb/hr. Dan pagi ini sy cek pulsa sy tinggal 6rb an. Padahal sy gak pake
 telpon ato apa2. Apa sy bisa tau history penggunaan pulsa saya? Ini 
bukan pertama kali terjadi min. Sebelumnya juga begitu.pic.twitter.com/DhPDB7Yztn",isi pulsa rb semalem pagi cek pulsa pulsa kali min,isi pulsa rb semalem pagi cek pulsa pulsa kali min
492,"@IndosatCare cek DM dong ngomong nya cuma di proses doang, udah 24jam nih ga ada hasil.
Saya gak ridho dunia akhirat, masa iya harus nyumpahin dulu biar pulsa saya di balikin lg.",cek dm nya proses nih hasil ridho dunia akhirat iya nyumpahin pulsa,cek dm nya proses nih hasil ridho dunia akhirat iya nyumpahin pulsa
493,"@IndosatCare
 slamat mlm ini kok saya baru aja isi pulsa 55k untuk paket freedom 
kombo M kok pas pulsanya udh masuk. Saya cek pulsa galama langsung 
hilang semua pulsa saya. Ini kok bisa gini. Mohon penjelasanya. Bisa 
balik gak pulsa saya. Terimakasihpic.twitter.com/FPZObSVwhk",slamat malam isi pulsa paket freedom kombo cek pulsa pulsa,slamat malam isi pulsa paket freedom kombo cek pulsa pulsa
494,@IndosatCare sudah gak fast respon mlah gk ada respon,,
495,"@IndosatCare
 min kok kartu im3 saya sinyal nya X terus ? dan nomernya ditelp katanya
 nomer blm terdaftar padahal udah didaftarin . gimana min?",min kartu sinyal nya,min kartu sinyal nya
496,"@IndosatCare @IM3Ooredoo Halo, Indosat. Apa skrg engga ada notif kuota habis? Lgsg nyedot pulsa?

Brsn isi Unlimited, kok sisa YT tinggal 18 hari?pic.twitter.com/GUSbsN0uhG",halo kuota pulsa brsn isi sisa yt,halo kuota pulsa brsn isi sisa yt
497,@IndosatCare  Dear admin mohon dicek DM sy mengenai pulsa hilang Rp 99.000 mohon bantuannya. Terima kasih,pulsa rp bantu,pulsa rp bantu
498,Tolong balas pesan saya pulsa saya kesedot 2 nomor kesedot semua ini gimana? Ada sekitar 70rban itu duit udah banya bagi saya,balas pesan pulsa uang,balas pesan pulsa uang
499,"@IndosatCare
 min kenapa ya pulsa saya terpotong? Padahal saya gak aktifkan paket 
apapun, trus paket data saya matiin. Tapi tau2 dapet sms kaya gini?!pic.twitter.com/0oAqJDwY0n",min ya pulsa paket paket data matiin dapet sms,min ya pulsa paket paket data matiin dapet sms
500,"@IndosatCare @IM3Ooredoo
 saya merasa dirugikan, hari ini pulsa saya terkuras habis. Saya daftar 
1GB data untk 1 hari, aktif sd 25/02/2018 14:18. Padahal saya pakai data
 usage warning 900mb. Dijam 12 hari ini saya matikan data saat warning 
usage muncul tp pulsa saya 18ribuan habis",pulsa kuras daftar gb data untk pakai data mb data pulsa,pulsa kuras daftar gb data untk pakai data mb data pulsa
501,"@IndosatCare mau register im3 Spotify, terus keluar ini, kode verifikasi nya dapet dari manakah? Nunggu SMS nggak muncul2pic.twitter.com/iEpXt1VQg8",register kode verifikasi nya dapet manakah sms,register kode verifikasi nya dapet manakah sms
502,"Min.. aku tanya dr kemarin belum dijawab, ini yg baru 2 jam lalu dijawab. Gmn sih ? Gak profesional",min dokter kemarin jam bagamana sih,min dokter kemarin jam bagamana sih
503,"@IndosatCare
 kemaren kamis saya aktifasi paket yellow 7rb/10hr. Dan dr kemaren sampe
 hr ini tanpa notif apapun sisa kuota berapa pulsa saya tersedot 
30rb-an. Gimana ni kejadian ky gini gak sekai dua kali. Tapi sering! 
Mohon ditindaklanjuti.",kemaren kamis aktifasi dokter kemaren sisa kuota pulsa rb an kali,kemaren kamis aktifasi dokter kemaren sisa kuota pulsa rb an kali
504,"@IndosatCare
 parah banget indosat per sms nya 2000,, mana gak dafet gratisn lagi... 
Mana tadi pulsa saya ke sedot 10rb..  Parah parah indosat kaya maling 
ajah",parah banget sms nya dafet gratisn pulsa kah rb parah parah,parah banget sms nya dafet gratisn pulsa kah rb parah parah
505,"@IndosatCare
 min nomor saya kok gabung di PrimeLite ya? Padahal saya tidak ada 
permintaan atau otomatis dari indosat? Terus tiap bulan pulsa dipotong 
1000, terus fasilitasnya kenapa gak gratis nelpon ke sesama indosat aja?
 Pulsa saya tiap bulan udah dipotong gak jelas buat apa pic.twitter.com/PpBXC2JUaF",min nomor primelite ya pulsa nelpon kah pulsa,min nomor primelite ya pulsa nelpon kah pulsa
506,"Betul
 itu Indosat.... respon lambat... penanganan permasalahan juga 
lambat.... Masak Transfer Pulsa gangguan sudah 2 minggu lebih tidak bisa
 diselesaikan. Kecewa berat...",respon tangan pulsa minggu kecewa,respon tangan pulsa minggu kecewa
507,"@IndosatCare @IM3Ooredoo min, paket yellow 1k/hari itu auto renewal gak?",min auto,min auto
508,"@IndosatCare min pulsa saya tersedot, semula pulsa saya Rp 24000, pada tanggal 23/2/2018, pagi ini tanggal 24/2/2018 tinggal Rp 5
...padahal paket data saya masih 84 mb (paket yellow) mohon penjelasannya, saya juga sudah dm perinciannya...pic.twitter.com/vbRLWiLhTu",min pulsa sedot pulsa rp tanggal pagi tanggal rp paket data,min pulsa sedot pulsa rp tanggal pagi tanggal rp paket data
509,@IndosatCare saya barusan (pukul 05:30) isi pulsa 50rb & 25rb udah berhasil di m-banking tapi dicek gak keliatan pulsanyapic.twitter.com/ft52DrY2Lv,barusan isi pulsa rb rb hasil banking dicek keliatan,barusan isi pulsa rb rb hasil banking dicek keliatan
510,"Sudah
 berkali2 abis isi pulsa, beli paket yellow tahu2 pulsanya abis padahal 
sisa kuota masih, gimana ini pertanggung jawabannya?",habis isi pulsa sisa kuota,habis isi pulsa sisa kuota
511,"@IndosatCare
 Malam kak, saya ada sedikit keluhan mengenai pulsa yang tersedot secara
 tidak wajar. Mohon bantuannya kak, masalah detailnya sudah saya dm kan.",malam kak pulsa,malam kak pulsa
512,"@IndosatCare halo min indosat lagi gangguan ?
drtd sinyal 3G,kadang H+",halo min drtd sinyal kadang,halo min drtd sinyal kadang
513,"@IndosatCare Admin, pulsa saya kok disedot pemakaian data per kb ya, padahal masih ada kuota lebih dari 100MB. Pulsa saya lgsg ludes.pic.twitter.com/a5c3nJa8Iu",pulsa disedot data kb ya kuota mb pulsa,pulsa disedot data kb ya kuota mb pulsa
514,"@IndosatCare
 Saya mau paketan nelpon kenapa gagal terus ya. Lewat internet gagal. 
Lewat hp gak keluar menunya. Maunya apa? Sinyal jelek lagi. Tolong 
lakukan sesuatu.pic.twitter.com/bF2rB0h3hB",paketan nelpon ya internet sinyal jelek,paketan nelpon ya internet sinyal jelek
515,@IndosatCare Hai. Mau nanya. Kalau tampilan infonya seperti ini berarti kartunya masih aktif apa ngga ya?pic.twitter.com/iM998pq5TG,nanya tampilan infonya arti,nanya tampilan infonya arti
516,@IndosatCare maaf ini primelite apa ya? Kok potong pulsa secara otomatis tanpa persetujuan user.pic.twitter.com/2s8cKvTS3e,maaf primelite ya pulsa,maaf primelite ya pulsa
517,@IndosatCare tidak bisa cek kuota dari sms maupun my care. Parah bgt sekarang indosat pelayanannya buruk sekalipic.twitter.com/TjNnzzESRU,cek kuota parah banget layan,cek kuota parah banget layan
518,"@IndosatCare
 mau cek kuota tp gini, di apps myIM3 juga ngestuck aja dari siang kyk 
gini. Awas aja kalau udh abis tbtb nyedot pulsa hehe hobi kalian kan gt,
 nyedotin pulsa..pic.twitter.com/DHKTAYOdwM",cek kuota ngestuck siang habis nyedot pulsa hehe hobi nyedotin,cek kuota ngestuck siang habis nyedot pulsa hehe hobi nyedotin
519,"@IndosatCare
 dear cs support mohon bantuannya untuk menjelaskan paketan tersebut ( 
on net dan off net ) dan unlimited inyernet itu meliputi apa saja?pic.twitter.com/rrQeRLNxD5",,
520,"Sudah
 saya restart juga hp nya tetap gak bisa transfer pulsa.. Dan udah tekan
 *123*5*8*3*3# gak bisa juga yg muncul tulisan invalid menu.... Gimana 
nih min?? Saya mau transfer pulsa gak bisa2 juga. Mohon bantuannya..  
Terima kasih",pulsa invalid menu min pulsa mohon bantu,pulsa invalid menu min pulsa mohon bantu
521,"@IndosatCare
 woy kenapa indosat makin sini makin lemot quota masih gede ttep aja 
lemot,skrang gak ujan gak mati listrik ttep aja lemot parah woyy bnerin 
sblum planggan setia pada pindah ke operator lain,jaringan penuh koneksi
 lemot parahhhh",quota skrang ujan listrik bnerin sblum planggan operator jaring koneksi,quota skrang ujan listrik bnerin sblum planggan operator jaring koneksi
522,"@IndosatCare min sinyalmu kok elek je, ra koyo biasane. ",min sinyalmu elek ra,min sinyalmu elek ra
523,"@IndosatCare
 Eaa, naik lagi. Kenaikan harga TIDAK berbanding lurus dengan kenaikan 
pelayanan dan kualitas jaringannya sendiri. Belum cukup dengan tindakan 
BEGAL PULSA yg sering dialami pelanggan lain ya? @aduanBRTI @YLKI_ID @kemkominfopic.twitter.com/PPjOwoLh23",eaa harga banding lurus layan kualitas jaring pulsa langgan ya aduanbrti,eaa harga banding lurus layan kualitas jaring pulsa langgan ya aduanbrti
524,@IndosatCare mohon segera baca DM ya. Gak bs aktifin paket niiih.,dm ya aktifin paket,dm ya aktifin paket
525,"@IndosatCare kak,kok dm saya g di.balas",kak dm,kak dm
526,"udah, lama banget balesan reply.nya dari 151.
lalu muncul token dan saya ikuti panduan tapi gagal.

nb: cek jam masuk dan keluar sms.
mohon perbaiki sitem yg seperti ini atau buatkan sitem yg responya cepat.

tnxpic.twitter.com/21jX8anqXe",banget balesan token pandu nb cek jam sms sitem sitem,banget balesan token pandu nb cek jam sms sitem sitem
527,"@IndosatCare
 mohon info min. Paket saya sudah aktif blm ya? Dr tadi keterangannya 
setting terus. Mau sy pakai data takut nyedot pulsa regular. Sedangkan 
55rb sy udah ketarikpic.twitter.com/hpvMRXr7T3",ya dokter terang atur data pulsa regular,ya dokter terang atur data pulsa regular
528,"@IndosatCare min sy drtd gabisa daftar pake yellow, trs cek kuota jg gadikasi jumlah nya cmn sms begini? Respon fast minpic.twitter.com/2vZjIkx1gN",min drtd gabisa daftar cek kuota gadikasi nya,min drtd gabisa daftar cek kuota gadikasi nya
529,"@IndosatCare halo ka selamat pagi mau tanya ko saya setiap mau cek kuota hasilnya begini terus yaa dr kemarin?
Terima kasihpic.twitter.com/natA8Udjsf",halo ka pagi ko cek kuota dokter kemarin,halo ka pagi ko cek kuota dokter kemarin
530,@IndosatCare min indosat kenapa susah buat transfer pulsa?,min pulsa,min pulsa
531,@IndosatCare haeee sinyalmu kok elek sak iki? Gampang ilang ibarate koyo doi wkwkw. ,sinyalmu elek sak iki ilang,sinyalmu elek sak iki ilang
532,"@IndosatCare
 min, kenapa kejadian seperti ini sering saya alami dan tidak cuma 
sekali,kenapa pulsa reguler saya langsung kepotong menjadi Rp.0,- dengan
 alasan pemakaian data melebihi kuota dan setelah saya cek data internet
 saya masih aktif dan masih ada data kuotanya.Terimakasih",min kali pulsa alas data kuota cek data internet data,min kali pulsa alas data kuota cek data internet data
533,"@IndosatCare
 Ya Tuhan... Indosat ini kok sering sekali bermasalah, yak. Kirim sms 
konfirmasi sampe 10x gagal mulu. Ingin rasanya kuganti provider, tapi 
kok semua akun2 penting udah kadung pake ini ",ya tuhan kali iya kirim sms konfirmasi gagal mulu kuganti provider akun kadung,ya tuhan kali iya kirim sms konfirmasi gagal mulu kuganti provider akun kadung
534,"@IndosatCare
 Kenapa yaa seringnya jaringan E teross :( padahal disini H+ ataupun 4G 
sudah mendukung. Settingan juga udh diotomatiskan tapi malah E melulu. 
Kadang di WCDMA only bisa sebentar doang, hbis itu sinyal H ilang :( . 
Dan 4G cuman sesekali :(. Apa yg hrs saya lakukaaan ??pic.twitter.com/6S4qHwA2E4",yaa settingan melulu kadang wcdma hbis sinyal ilang cuman lakukaan,yaa settingan melulu kadang wcdma hbis sinyal ilang cuman lakukaan
535,"@IndosatCare
 hallo indosat.. saya dari siang gak bisa join paket.. pulsa kesedot 
sampe 30ribu dalam 1 jam.. kenapa tetap sedot? Kenapa tuh systemmu ga bs
 register saya paket freedom? Sengaja ?",hallo siang join paket pulsa jam,hallo siang join paket pulsa jam
536,Cek DM min,cek dm min,cek dm min
537,@IndosatCare bagaimana cara mengaktifkan bonus spotify stlh berlangganan paket internet ? Trm ksh,,
538,Saya coba. Trima kasih.. ngomong2 indosat suka ngepet ya? Kok baru 2 bulan beli nomor indosat sdh 2 kali dipotong sampe Rp 0.,kasih ngepet ya nomor kali,kasih ngepet ya nomor kali
539,"@IndosatCare
 min mau tanya buat kartu M3 yg hbs masa tenggang blm sebulan tp sinyal 
Masi muncul apa bisa d aktifkan lagi? Karna ada beberapa teman bisa ada 
yg bilang tidak bisa.",min kartu habis tenggang sebulan sinyal masi karna teman,min kartu habis tenggang sebulan sinyal masi karna teman
540,@IndosatCare im3  buat telp kayak gini. Udah di restart berulang2. Kejadian ini udah 1 mingguan. Keluhan tak ada tanggapanpic.twitter.com/LIJdfRgLhs,telepon minggu,telepon minggu
541,"Nahh
 kalo gini kan enak nih mba dan mas admin ny . Bisa di respon dengan 
sangat baik keluhan saya dan pulsa saya sudah di kembali kan . Makasih 
mas dan mba admin atas bantuan nya pic.twitter.com/3MQtar2XmA",gini enak nih admin nya respon pulsa bantu,gini enak nih admin nya respon pulsa bantu
542,"@IndosatCare
 Hai min, bisa minta tolong ini dinonaktifkan aja. Saya ga pernah 
register apa2 tapi tiba2 ada sms kaya gini. Udah unreg, cuma diproses 
aja, gda info lg. Makasihpic.twitter.com/fskbF4Caq2",min register sms unreg diproses info,min register sms unreg diproses info
543,@IndosatCare min mau regis di stream on spotify ko gabisa ya yg paket combo,min,min
544,Konsumen rugi terus. indosat panen sedot pulsa,konsumen panen sedot pulsa,konsumen panen sedot pulsa
545,"@IndosatCare
 ada kok yg bilang katanya penambahan kapasitas akhir 2017 atau awal 
2018 perasaan ini udah februari kok masih tetap ya malah 3g nurun 
drastis @kemkominfo @rudiantara_idpic.twitter.com/naTFyrTmk6",bilang kapasitas februari ya kemkominfo,bilang kapasitas februari ya kemkominfo
546,@IndosatCare pulsa saya diambil terus nih tiap jammmmmm #indosat #nyedotpulsa,pulsa nih jamm,pulsa nih jamm
547,@IndosatCare tolong donk pulsa saya dipotong terus nih dalam 3 hari #indosatooreoooo #payah,pulsa,pulsa
548,"@IndosatCare
 min ini maksutnya gimana ya? Tadi ada pemberitahuan kuota tinggal 98MB 
.. terus ada pemberitahuan lagi internetan dg tarif 4000.. pulsa aku 
kepotong 4000. tapi habis itu ada sms lagi sisa kuota 260MB?? Tolong 
responnya bagaimana yapic.twitter.com/av7KqPOsr2",min kuota mb internetan tarif pulsa habis sms sisa kuota mb,min kuota mb internetan tarif pulsa habis sms sisa kuota mb
549,"@IndosatCare ini coba nyontoh Bu Dendy, dermawan suka kasih2 uang. Bukan malah nyedotin pulsa pelanggan",nyontoh dermawan uang nyedotin pulsa langgan,nyontoh dermawan uang nyedotin pulsa langgan
550,@IndosatCare Sinyal nya hilang..di #sekayu #MUBA @infosekayu @MTGsekayu,sinyal infosekayu mtgsekayu,sinyal infosekayu mtgsekayu
551,"Saya
 ke Gallery Indosat tanya terkait pulsa sering ilang dan paketan yellow,
 dan jawaban CS nya bikin shock parah ""saran saya sih jgn pake paketan 
yellow, karena paket yellow program belum sempurna"". Dalam hati ""ngapain
 dipromosikan dan diluncurkan kalo gt"". BAD ANSWER EVER!",pulsa ilang paketan parah saran sih paketan program sempurna hati,pulsa ilang paketan parah saran sih paketan program sempurna hati
552,"@IndosatCare hrs bnyk blajar dr @Telkomsel dan @myXLCare
 dlm hal reg kartu baru...saya di Indosat Kayun ambil antrian jam 13.44 
sampai jam 15.37 belum terlayani + AC gak dingin blasss... (udah 
ditinggal u registrasi kartu di Telkomsel dan XL) balik lagi masih sama @e100sspic.twitter.com/GP36c8okrT",dokter telkomsel reg kartu antrian jam jam registrasi kartu telkomsel,dokter telkomsel reg kartu antrian jam jam registrasi kartu telkomsel
553,"Maaf nih Admin @IndosatCare apakah jaringan @IM3Ooredoo
 yang tidak stabil juga berimbas pada lamanya respon keluhan pelanggan? 
Jika iya, silahkan perbaiki jaringan dan hentikan ""pemotongan"" pulsa 
secara tidak wajar, biar berkah aktifitasnya CC @kemkominfo @aduanBRTI @YLKI_ID",maaf nih admin jaring imbas respon langgan iya silah jaring pulsa berkah,maaf nih admin jaring imbas respon langgan iya silah jaring pulsa berkah
554,Indosat suka nyolong pulsa. Cek DM saya min ,pulsa cek dm min,pulsa cek dm min
555,Gan...kenapa ini saya gak bisa daftar ulang kartu...mohon di jawab,gan daftar kartu,gan daftar kartu
556,"Anjirr banyak banget yang kompain tapi nggak ditanggepin sama @IndosatCare ini sebenernya salahnya dimana, tolong dong @kemkominfo @YLKI_ID
 di kasih peringatan. Setau saya yg mengelola CS hampir sebagian sebsar 
perusahan besar adalah pihak ketiga. Ini soal pelayanan lho.",anjirr banget ditanggepin salahnya kemkominfo id kasih cs sebsar perusahan layan lho,anjirr banget ditanggepin salahnya kemkominfo id kasih cs sebsar perusahan layan lho
557,"Et..Dah.....banyak bener masalah pulsa kesedot.....
Sama seperti yg saya alamin.....udah komplain dengan berbagai cara sejak 5 tahun yg lalu....ga ditanggepin....sama Indosat.
Udah sampek ke dukun juga, tetep ga mempan...",et pulsa kesedot alamin ditanggepin sampek kah dukun mempan,et pulsa kesedot alamin ditanggepin sampek kah dukun mempan
558,"Makasih mimin, itu sudah di UNREG segala macam layanan belum? Takutnya nanti isi pulsa kejadian lagi seperti kemarin",unreg layan takutnya isi pulsa kemarin,unreg layan takutnya isi pulsa kemarin
559,"Iya
 min masalahnya ga dipake apa apa tau tau ilang aja sampe 70rb, kalau 
saya aja sih ga jd masalah tp banyak komplain kaya gini min mohon 
diperbaikin aja indosatnya",iya min ilang rb sih min mohon,iya min ilang rb sih min mohon
560,"Indosat
 sekarang ada tuyulnya, pulsa sy tiap hari hilang padahal gak ikut 
konten apa2, sy udah coba Unreg semua cuma di balas sedang kami proses 
tpi pulsa tetep hilang lg, coba tlp ke 185 berkali kali gk bisa 
terhubung katanya ada perbaikan, sy merasa di rugikan",konten unreg balas proses pulsa tlp kah terhubung,konten unreg balas proses pulsa tlp kah terhubung
561,"@IndosatCare
   padahal kuota yg saya gunakan tidak pernah melebihi batas kuota 
1giga,dan saya selalu update daftar pekaten yellow sebelum jam 
perpanjangan nya berakhir,tidak ada pemberitahuan apapun dari pihak 
indosat lewat sms tapi selalu hilang pulsa saya mohon jawaban nya",kuota batas kuota jam nya sms pulsa mohon,kuota batas kuota jam nya sms pulsa mohon
562,"Hi, tolong berhentikan layanan ini. Saya tidak berlangganan layanan ini sama sekali. Mohon ditindak tegas.pic.twitter.com/sOj4Une7FA",hi henti layan langgan layan,hi henti layan langgan layan
563,"@IndosatCare
 kenapa pulsa saya hilang. Dari 4600 tinggal 200 nomer saya 
085654106158... apa kah indosat selalu mencuri pulsa pelanggan seperti 
ini.",pulsa nomer pulsa langgan,pulsa nomer pulsa langgan
564,"@IndosatCare
 min, kuota Internet masih ada kenapa tiba2 pulsa reguler habis padahal 
tidak melakukan panggilan ato apapun kecuali browsing internet? Dari 
69rb jadi 3pic.twitter.com/tzw0IHdK9J",min kuota internet pulsa laku browsing internet,min kuota internet pulsa laku browsing internet
565,"Indosat makin buruk jaringannya,  siap2 ditinggal pelanggannya. Internet, nelp, sms ga ada yg bener. Astaghfirullah...",astaghfirullah,astaghfirullah
566,@IndosatCare hay kak.. Pulsa saya kok sering ilang sendiri ya? Padahal tdk berlanggan apapun. Gimana ya cara ceknya?,pulsa ilang ya langgan,pulsa ilang ya langgan
567,"@IndosatCare
 sinyal internet IM3 di sini jelek sekali, bisa putus sinyal tiap 2-3 
menit. Padahal dekat tower. Kalau bandwidth nggak kuat tolong jangan 
jualan paket (yang diklaim) 4G. Mungkin Indosat utk 4G paling jelek di 
dunia.pic.twitter.com/QeDYHKs1KK",sinyal internet jelek kali putus sinyal menit paket jelek,sinyal internet jelek kali putus sinyal menit paket jelek
568,"Sumpah
 nyesek banget! Pulsa masih 10.700, tiba tiba dapet pesan dari INDOSAT 
kuota tinggal 98 mb. Pas cek pulsa ternyata pulsa sisa 0. 
Kenapa tiba tiba 0 coba? Sedangkan kuota masih ada, waktu berlaku 
kuotanya masih ada. 
Aneh aja si, pulsa ke sedot dalam keadaan masih ada kuota",sumpah nyesek banget pulsa dapet pesan kuota mb cek pulsa pulsa sisa kuota laku pulsa kah sedot kuota,sumpah nyesek banget pulsa dapet pesan kuota mb cek pulsa pulsa sisa kuota laku pulsa kah sedot kuota
569,"@IndosatCare
 selamat sore. kak mau tanya, pulsa saya ada 10rb dan belum masuk masa 
tenggang. tp begitu mau daftar paket yellow, sms dari 363 kayak gini. 
bagaimana ya kak solusinya? thxpic.twitter.com/yzDn9Z8ciA",selamat sore kak pulsa rb tenggang daftar gini ya kak,selamat sore kak pulsa rb tenggang daftar gini ya kak
570,"Udah
 males sama Indosat. Baru 2 hari lalu isi pulsa lagi 25ribu dan tetep 
loh dibilang pulsa ga cukup untuk nelpon. Ini gue yang emang bego apa 
gimana sih? Terus dibilang masa tenggang jugapic.twitter.com/UNBwcDdFew",males isi pulsa loh dibilang pulsa nelpon bodoh sih dibilang tenggang,males isi pulsa loh dibilang pulsa nelpon bodoh sih dibilang tenggang
571,"Saya sdh DM ya...  Tolong solusinya ya.. Ga pake lama ya @IndosatCare... Saya dari dl sdh percaya indosat tp skg kok begini ya...

Kakak @PipietAbrori , @linniaAristia  bantu up ya kalau aku ga direspon...",dm ya ya dl skg ya pipietabrori linniaaristia ya direspon,dm ya ya dl skg ya pipietabrori linniaaristia ya direspon
